episode,mode,agent_id,reward,length,crashed,avg_speed,distance,training_steps
0,multi-shared,0,0.009819109328339959,50,True,27.97452064348887,-126.99469888195806,50000
0,multi-shared,1,17.38227719798261,50,False,33.165853300566525,1625.0261262663075,50000
1,multi-shared,0,19.790496903471936,50,False,38.88966792055312,1911.307457698829,50000
1,multi-shared,1,2.431228783554645,50,True,34.386158834454946,-180.02541230612087,50000
2,multi-shared,0,19.763475464276244,50,False,39.247702035775255,1931.6727009639924,50000
2,multi-shared,1,19.93118878959055,50,False,39.56479296620146,1942.9088146791262,50000
3,multi-shared,0,6.566748830187617,50,True,35.578747673138935,-120.63841031784031,50000
3,multi-shared,1,19.812371789435797,50,False,39.27081921192458,1932.09835733728,50000
4,multi-shared,0,1.1527690880701762,8,True,31.652394704299688,-124.49876045191344,50000
4,multi-shared,1,0.9468522194666003,8,True,26.77887418767979,-174.1258166403134,50000
5,multi-shared,0,6.066187874509466,50,True,36.60436803608234,-131.03338458548376,50000
5,multi-shared,1,19.77731847575636,50,False,39.06200574255563,1919.5711257689197,50000
6,multi-shared,0,19.94362039790811,50,False,39.458156726108555,1938.3794248012757,50000
6,multi-shared,1,19.765295863218476,50,False,39.15592467707907,1924.5603848561288,50000
7,multi-shared,0,2.5855842042513153,12,True,31.97010200154865,-123.66413540206788,50000
7,multi-shared,1,1.688013680074461,12,True,34.635092533112925,-182.3183028835245,50000
8,multi-shared,0,19.941065042436126,50,False,39.596140336692095,1944.0302714222826,50000
8,multi-shared,1,19.915452677971324,50,False,39.632836263717394,1947.1471073752064,50000
9,multi-shared,0,3.6811659428040775,50,True,36.56373884340504,-131.71912587236585,50000
9,multi-shared,1,19.454004114200487,50,False,37.86742449286835,1856.6905866856182,50000
