episode,mode,agent_id,reward,length,crashed,avg_speed,distance,training_steps
0,multi-independent,0,7.184374144124334,25,True,33.968403504374685,-127.23740752557276,100000
0,multi-independent,1,7.014014573981937,25,True,31.78974090460318,-177.53994875995534,100000
1,multi-independent,0,5.057987446840233,18,True,32.97343656167291,-125.99110741138993,100000
1,multi-independent,1,3.6869284435344998,18,True,36.08540386334526,-182.22334468627784,100000
2,multi-independent,0,19.65058723283965,50,False,38.09748638427256,1869.5290741913598,100000
2,multi-independent,1,19.92644033159299,50,False,39.55906849829426,1943.722684620714,100000
3,multi-independent,0,7.450124827790294,26,True,30.531217122599603,-125.78737950669355,100000
3,multi-independent,1,6.539050097482594,26,True,30.637230787401744,-176.05751983637012,100000
4,multi-independent,0,3.029626781284901,21,True,29.216667969478916,-128.2437599302451,100000
4,multi-independent,1,6.313734832519395,21,True,34.304462189355995,-173.04003180962494,100000
5,multi-independent,0,2.5708772551041754,12,True,30.625687994999467,-128.70307055888424,100000
5,multi-independent,1,2.290731524178522,12,True,33.22351227898105,-174.27114115329354,100000
6,multi-independent,0,6.240413418839016,50,True,31.200072515768337,-127.0896336977752,100000
6,multi-independent,1,19.558769835130473,50,False,37.98442736831187,1867.815622302992,100000
7,multi-independent,0,19.40975507306376,50,False,36.00190824413084,1765.7000803037856,100000
7,multi-independent,1,19.69852654299973,50,False,38.8505655144784,1908.2838589060368,100000
8,multi-independent,0,7.739577478187876,50,True,28.06183866297942,-120.09783616272088,100000
8,multi-independent,1,18.870693976627138,50,False,36.283136306796315,1781.72180017351,100000
9,multi-independent,0,3.21992976185674,50,True,25.845894849792188,-121.07083407968703,100000
9,multi-independent,1,19.835861567997373,50,False,39.41972558682516,1939.5367847446414,100000
